date,total_posts,num_posts,num_comments,sentiment_mean,sentiment_median,sentiment_sd,afinn_mean,bing_mean,nrc_mean,avg_score,total_score,joy_total,fear_total,anger_total,trust_total,positive_count,negative_count,neutral_count,sentiment_momentum,pos_neg_ratio
2021-08-13,32,32,0,0.4875975076103501,0.22073820395738203,0.7548574299566676,6.84375,2.40625,3.9375,27.5625,882,73,41,46,150,19,4,9,NA,4.75
2021-08-14,3858,1126,2732,0.1254380981462939,0.014687975646879755,0.3372827873434039,1.7617936754795231,0.5427682737169518,1.0883877656817003,7.8553654743390355,30306,2961,1983,1900,5064,1559,441,1858,-0.3621594094640562,3.5351473922902494
2021-08-15,1813,912,901,0.15217123749413378,0.012709284627092846,0.40999225264242184,2.1218974076116934,0.6795366795366795,1.5190292333149475,19.862107004964148,36010,1865,1338,1235,3483,761,273,779,0.026733139347839885,2.7875457875457874
2021-08-16,1934,987,947,0.14765499693854583,0.06666666666666667,0.40020493071965896,2.059462254395036,0.6416752843846949,1.4875904860392968,11.16546018614271,21594,1895,1390,1265,3489,893,241,800,-0.0045162405555879415,3.7053941908713695
2021-08-17,1941,995,946,0.15217779126546674,0.06666666666666667,0.412257871460994,2.1339515713549715,0.6548171045852653,1.3745492014425553,9.915507470376095,19246,1769,1356,1197,3290,847,238,856,0.004522794326920904,3.5588235294117645
2021-08-18,1891,949,942,0.1381381566291341,0.019254185692541854,0.4111017103093499,1.9344262295081966,0.6033844526705446,1.2755156002115282,23.82601797990481,45055,1684,1200,1097,3058,778,236,877,-0.014039634636332649,3.2966101694915255
2021-08-19,1323,378,945,0.093063479408337,0.0045662100456621,0.31541183538962597,1.3038548752834467,0.3416477702191988,0.9289493575207861,4.5910808767951625,6074,757,530,488,1454,450,178,695,-0.045074677220797096,2.5280898876404496
2021-08-20,324,324,0,0.19817562996786742,0.08363774733637748,0.4031144638329699,2.756172839506173,0.9537037037037037,2,29.938271604938272,9700,392,294,278,836,157,36,131,0.10511215055953042,4.361111111111111
2021-08-21,1906,939,967,0.15605390172187164,0.011111111111111112,0.41660804481189234,2.191500524658972,0.7140608604407135,1.3111227701993704,14.471143756558238,27582,1765,1281,1206,3248,787,237,882,-0.042121728245995776,3.320675105485232
2021-08-22,1699,766,933,0.1825108421732544,0.06567732115677322,0.46093619633142885,2.560918187168923,0.8128310771041789,1.5915244261330195,21.12654502648617,35894,1788,1283,1233,3264,768,221,710,0.02645694045138275,3.475113122171946
2021-08-23,1302,333,969,0.13268259579571998,0.0073439878234398785,0.36261802477535,1.8655913978494623,0.5829493087557603,1.1105990783410138,5.28494623655914,6881,958,666,635,1785,494,133,675,-0.04982824637753441,3.7142857142857144
2021-08-26,622,622,0,0.24110885981784103,0.07222222222222223,0.5776322434915734,3.3456591639871385,1.0964630225080385,2.622186495176849,30.7475884244373,19125,974,696,661,1856,295,93,234,0.10842626402212105,3.172043010752688
