date,sentiment_mean,sentiment_sd,positive_count,negative_count,neutral_count,total_posts,joy_total,fear_total,anger_total,trust_total,price,price_change_pct,volatility_7d,volume_24h,cryptocurrency
2021-08-13,0.4875975076103501,0.7548574299566676,19,4,9,32,73,41,46,150,47832.93,NA,NA,1595718853.28,btc
2021-08-14,0.1254380981462939,0.3372827873434039,1559,441,1858,3858,2961,1983,1900,5064,47102.03,-1.5280268216895765,NA,1120499538.82,btc
2021-08-15,0.15217123749413378,0.40999225264242184,761,273,779,1813,1865,1338,1235,3483,47015.94,-0.18277343885177988,NA,836663894.85,btc
2021-08-16,0.14765499693854583,0.40020493071965896,893,241,800,1934,1895,1390,1265,3489,45927.4,-2.315257336128984,NA,1332377363.69,btc
2021-08-17,0.15217779126546674,0.412257871460994,847,238,856,1941,1769,1356,1197,3290,44684.43,-2.706380069413905,NA,1700658063.3,btc
2021-08-18,0.1381381566291341,0.4111017103093499,778,236,877,1891,1684,1200,1097,3058,44714.54,0.06738365018867931,NA,1377529230.43,btc
2021-08-19,0.093063479408337,0.31541183538962597,450,178,695,1323,757,530,488,1454,46761.49,4.577817416884966,NA,1511027965.43,btc
2021-08-20,0.19817562996786744,0.4031144638329699,157,36,131,324,392,294,278,836,49336.45,5.506582446367725,3.2829435384880585,1742574002.38,btc
2021-08-21,0.15605390172187164,0.41660804481189234,787,237,882,1906,1765,1281,1206,3248,48867.87,-0.9497643223215224,3.2306033833477654,1125508731.91,btc
2021-08-22,0.1825108421732544,0.4609361963314289,768,221,710,1699,1788,1283,1233,3264,49289.71,0.8632256736379018,3.214071326244367,822323898.98,btc
2021-08-23,0.13268259579571998,0.36261802477535,494,133,675,1302,958,666,635,1785,49521.06,0.4693677443019961,2.936010683952696,1515250474.77,btc
2021-08-26,0.24110885981784105,0.5776322434915734,295,93,234,622,974,696,661,1856,46852.22,-4.37627713360399,3.4751418750112735,1618461768.41,btc
2021-08-27,0.15014282755847524,0.4026410902662995,665,225,749,1639,1414,1023,955,2722,49088.1,4.772196493570635,3.290148800858997,1331637984.84,btc
2021-08-28,0.13110317191874776,0.38571840403155194,638,213,769,1620,1520,1199,1078,2761,48918.9,-0.34468639038789384,3.269708104320069,626553869.3,btc
2021-08-29,0.12995722949104574,0.33871395554520917,548,160,629,1337,1008,666,649,1812,48794.26,-0.2547890488134419,3.2512333349462472,924625515.76,btc
2021-08-30,0.245850574633241,0.4954660806635686,340,99,222,661,1029,855,764,2014,46993.31,-3.690905446665249,3.500715714954849,1392617744.31,btc
2021-08-31,0.13904893712117053,0.3796934992031208,743,228,776,1747,1538,1171,1083,2782,47159.26,0.35313537182208865,3.2471248741238594,1418199668.83,btc
2021-09-01,0.18419716739041267,0.4531896408024568,778,217,801,1796,1742,1189,1195,3217,48840.01,3.5639872211735257,3.380305860166213,1520961266.36,btc
2021-09-02,0.12342937703762448,0.33782517991021255,503,152,606,1261,837,563,549,1505,49280.77,0.9024568176787762,2.775083677135109,1615790894.94,btc
2021-09-03,0.2846784268114069,0.5807229943808504,310,87,239,636,1072,810,752,2208,50019.51,1.4990431358925749,2.202540075799339,1926045807.12,btc
2021-09-04,0.15415562518522355,0.4081004401386161,641,182,764,1587,1344,1015,972,2536,49935.29,-0.1683743003480065,2.1950711690733815,839888927.54,btc
2021-09-05,0.13487479510595948,0.37266798064761025,580,198,678,1456,1221,910,815,2291,51784.16,3.702531816677146,2.510778202162171,1084416553.08,btc
2021-09-06,0.3103685128350148,0.5512694117257795,298,64,187,549,921,751,655,1852,52693.32,1.7556720047211316,1.4976016474172256,1328373298,btc
2021-09-07,0.1480148860306763,0.4436027827485397,737,308,756,1801,1844,1584,1389,3707,46856.31,-11.077324412278443,5.087331155789365,4055873734.71,btc
